domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.googlewatchblog.de,0.10449404761904761,0.20954048846940668,0.1660714285714286,0.1469222818317797,14.0
www.ibiza-heute.de,-0.0858974358974359,0.3646742682687139,0.0673992673992674,0.12609454505525386,13.0
oesterreich.orf.at,0.15207875457875458,0.39184936460970776,0.028846153846153848,0.05739476931009954,13.0
versicherungswirtschaft-heute.de,-0.031007326007326013,0.29691574287947864,0.0,0.0,13.0
www.mobiflip.de,0.05624999999999999,0.3278550777709596,0.03125,0.10825317547305484,12.0
sz-magazin.sueddeutsche.de,0.17412337662337662,0.22898014222840646,0.03257575757575758,0.05632920910131614,11.0
www.fitforfun.de,0.1469047619047619,0.23122517026716483,0.06601731601731602,0.08128671093965187,11.0
www.dealdoktor.de,0.06720680834317197,0.1483491151079191,0.051948051948051945,0.1722921969015792,11.0
www.prnewswire.com,0.1015,0.34176055620533186,0.0,0.0,10.0
www.iphone-ticker.de,0.27,0.36017935347083213,0.0125,0.03952847075210474,10.0
scilogs.spektrum.de,0.125,0.21973433735387302,0.09012345679012346,0.16927992417816948,9.0
fm4.orf.at,-0.15185185185185185,0.20623012436967314,0.0873015873015873,0.1813279310919978,9.0
www.t-online.de,-0.13489583333333333,0.2923286492742508,0.07291666666666666,0.13684004681634104,8.0
de.catholicnewsagency.com,0.17083333333333334,0.3693355251782993,0.03645833333333333,0.10311973892303816,8.0
futurezone.at,-0.008333333333333325,0.2972092416687835,0.03125,0.08838834764831845,8.0
www.cio.de,0.15187499999999998,0.2351045655576083,0.09375,0.13211872366495653,8.0
www.kraftfuttermischwerk.de,0.13541666666666666,0.23002544717749457,0.020833333333333332,0.05892556509887895,8.0
www.laut.de,0.15312499999999998,0.23409473984312895,0.03125,0.08838834764831845,8.0
winfuture.de,0.1159375,0.3023123311009895,0.0888392857142857,0.13315850038390262,8.0
www.appgefahren.de,0.2343537414965986,0.1073376284585288,0.047619047619047616,0.12598815766974242,7.0
praxistipps.chip.de,0.16302721088435373,0.3811308290951145,0.16139455782312925,0.11591077026034931,7.0
www.apfelpage.de,0.03418367346938777,0.22512144438731746,0.10034013605442176,0.13002142805134284,7.0
www.horizont.net,0.14333333333333334,0.14598325626972125,0.011904761904761904,0.031497039417435604,7.0
www.ifun.de,0.11142857142857143,0.18361450300639576,0.04285714285714286,0.11338934190276817,7.0
www.kino-zeit.de,0.1371031746031746,0.1722276624844793,0.03571428571428571,0.06692128248835807,6.0
rivva.de,0.13333333333333333,0.10206207261596575,0.0,0.0,6.0
www.visions.de,0.04777777777777777,0.27925031914169895,0.013888888888888888,0.034020690871988585,6.0
11freunde.de,0.02416666666666667,0.2638260159018945,0.11805555555555557,0.16333475056074487,6.0
www.chip.de,0.22340277777777776,0.17820096658194853,0.08333333333333333,0.09128709291752768,6.0
feed.laut.de,0.02393578643578644,0.17563206467751943,0.03896103896103896,0.06255373807164828,6.0
www.teltarif.de,0.13083333333333333,0.146385146483894,0.016666666666666666,0.040824829046386304,6.0
www.merkur.de,0.16416666666666663,0.49740297769738184,0.1,0.13693063937629155,5.0
www.macerkopf.de,-0.020000000000000004,0.10954451150103323,0.07333333333333333,0.10110500592068734,5.0
www.swr.de,0.01833333333333333,0.23960036171369467,0.12333333333333334,0.14317821063276354,5.0
www.rbb24.de,-0.030000000000000006,0.17975678012247548,0.05,0.1118033988749895,5.0
www1.wdr.de,0.10733333333333332,0.3024933424428085,0.0,0.0,5.0
www.br.de,-0.08499999999999999,0.1781852968120546,0.06666666666666667,0.09128709291752768,5.0
netzpolitik.org,0.15833333333333333,0.20497289793748075,0.18333333333333332,0.20749832663314555,5.0
ibiza-heute.de,0.303125,0.4026442546880972,0.09375,0.1875,4.0
www.deutsche-startups.de,0.20714285714285713,0.18608022554838016,0.07142857142857142,0.08247860988423224,4.0
www.perlentaucher.de,0.07410714285714284,0.17695398437174,0.0625,0.125,4.0
www.computerwoche.de,-0.05208333333333333,0.21542109924517605,0.0,0.0,4.0
www.giga.de,0.21297619047619046,0.20120400067250477,0.0,0.0,4.0
www.gameswelt.de,-0.06374999999999999,0.3355933799505983,0.05,0.1,4.0
www.designmadeingermany.de,0.0,0.0,0.0,0.0,3.0
www.bunte.de,-0.2233333333333333,0.2154839514519198,0.10555555555555556,0.12945755775256715,3.0
efahrer.chip.de,0.18253968253968253,0.17250543606626192,0.047619047619047616,0.08247860988423225,3.0
frische-brise.blogspot.com,-0.05555555555555555,0.09622504486493763,0.3333333333333333,0.5773502691896258,3.0
web.de,0.2183333333333333,0.508437147869167,0.03333333333333333,0.05773502691896258,3.0
learngerman.dw.com,0.046666666666666655,0.2730079363925769,0.06666666666666667,0.11547005383792516,3.0
www.derstandard.at,0.10833333333333334,0.4784959073318531,0.0,0.0,3.0
'Sommer',0.0,0.0,0.0,0.0,2.0
news.samsung.com,0.4833333333333333,0.023570226039551636,0.0,0.0,2.0
meedia.de,-0.15749999999999997,0.024748737341529155,0.0,0.0,2.0
gentleman-blog.de,-0.11666666666666665,0.1649915822768611,0.2,0.28284271247461906,2.0
help.orf.at,0.22708333333333333,0.07365695637359872,0.14583333333333331,0.20623947784607632,2.0
www.lawblog.de,0.04464285714285713,0.18435283938077845,0.0,0.0,2.0
www.titanic-magazin.de,0.25,0.0,0.0,0.0,2.0
snipz.de,0.625,0.1767766952966369,0.0,0.0,2.0
blog.wiwo.de,-0.25,0.3535533905932738,0.0,0.0,2.0
weather.com,-0.1,0.14142135623730953,0.1,0.14142135623730953,2.0
origin-cognito.bf-folescenic-production.aws.bfops.io,-0.24583333333333332,0.10017346066809422,0.08333333333333333,0.11785113019775792,2.0
www.iphoneblog.de,0.27291666666666664,0.08544206939337448,0.0,0.0,2.0
'Hochwasser',0.0,0.0,0.0,0.0,2.0
www.computerbild.de,0.15833333333333333,0.058925565098878974,0.0,0.0,2.0
www.bvb.de,0.02916666666666666,0.2887352689845069,0.0,0.0,2.0
www.globenewswire.com,0.0,0.0,0.0,0.0,2.0
www.zdnet.de,0.10625,0.15026019100214133,0.0,0.0,2.0
'Gewitter',0.0,0.0,0.0,0.0,2.0
'Herbst',0.0,0.0,0.0,0.0,2.0
'Ernte',0.0,0.0,0.0,0.0,2.0
www.discountfan.de,0.08541666666666665,0.12668996496258975,0.20833333333333331,0.29462782549439476,2.0
